FORMAT SKU Code	Product Name	ITEM	FORMAT	SKU SAP Code	SKU SAP NAME	Category	Sub Category	Case Pack	Per UNIT	Item Head	Brand	UOM	Per UNIT Value	Category Head	IS LITRE	IS LITRE OIL	PACKAGING COST EXC
QWRGG9XWMEQQPM89	Canola 1L+Extra Light 1L-shopsy	Canola 1L+Extra Light 1L	FLIPKART			OLIVE	EXTRA LIGHT		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGJFZ8M4EGGS5F	Canola1L+Soyabean1L+Mustard1L-shopsy	Canola1L+Soyabean1L+Mustard1L	FLIPKART	SL0000212	CANOLA 1 LTR+ SOYABEAN 1 LTR + MUSTARD 1 LTR	CANOLA	CANOLA		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
QWRGEMP4TVBHRUE3	Canola 1+1L_Shopsy	Canola 1+1L	FLIPKART	FG0000123	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET	CANOLA	CANOLA		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMZP8USGKNSY	Canola 1L_Shopsy	Canola 1+1L	FLIPKART	FG0000125	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET PLAIN	CANOLA	CANOLA		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMP99M44YSHA	Mustard 1L+Extra Light 1L_Shopsy	Mustard 1L+Extra Light 1L	FLIPKART			OLIVE	EXTRA LIGHT		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGG9UACYSCUXK9	Canola1L+Mustard1L-shopsy	Canola1L+Mustard1L	FLIPKART	SL0000007	CANOLA 1 LTR + MUSTARD 1 LTR	CANOLA	CANOLA		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMNS9ZPZGWJH	Extra Virgin 1+1L_Shopsy	Extra Virgin 1+1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMZZBATNNPZD	Extra Virgin 5L_Shopsy	Extra Virgin 5L	FLIPKART			OLIVE	EXTRA VIRGIN		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	26.875
QWRGGAZJH2PABKMH	Canola 1+1L-shopsy	Canola 1+1L	FLIPKART	FG0000123	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET	CANOLA	CANOLA		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGGC2FH324F4EF	Pomace5L+2L-shopsy	JIVO POMACE 5L+2L	FLIPKART			OLIVE	JIVO POMACE		5+2 LTR	PREMIUM	JIVO	LTR	7	OIL	Y	Y	81.75
QWRGEMNWTAGVDDNS	Extra Light 1L+Pomace 1L	EXTRA LIGHT 1L + JIVO POMACE 1L	FLIPKART			OLIVE	EXTRA LIGHT		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
EDOGGP4FSQVM2ERR	SOYA001 +Pack of 3	SOYABEAN 1L 3PCS	FLIPKART			SOYABEAN	SOYABEAN		1+1+1 LTR	COMMODITY	JIVO	LTR	3	OIL	Y	Y	9.875
EDOHYSCZHPAA3JDH	New_Sunflower Oil 5L-Local	SUNFLOWER OIL 5L	FLIPKART			SUNFLOWER	SUNFLOWER OIL		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGE62ESBTMBRGF	Sunflower 2L	SUNFLOWER OIL 2L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		2 LTR	COMMODITY	JIVO	LTR	2	OIL	Y	Y	7.875
EDOGW3HGUQBAHNCB	Sano Canola -1L (1+1)	SANO CANOLA 2L	FLIPKART			CANOLA	CANOLA		2 LTR	PREMIUM	SANO	LTR	2	OIL	Y	Y	7.875
QWRGGY7GHFUEFHEY	Soyabean5L+Extra Light2LCan-shopsy	EXTRA LIGHT 2L + SOYABEAN 5L	FLIPKART			OLIVE	EXTRA LIGHT		5+2 LTR	PREMIUM	JIVO	LTR	7	OIL	Y	Y	81.75
EDOGHZRXZGAKYAEF	FL-Extra Light 5L+1L	EXTRA LIGHT 5L+1L	FLIPKART			OLIVE	EXTRA LIGHT		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGNKQ6EFDAV9HU	Canola oil 5 (Pack of 2)	CANOLA 5L	FLIPKART	SL0000018	CANOLA 5 LTR PACK OF 2	CANOLA	CANOLA	2	5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOGWGZ7TQ6ZZT3H	Jivo Extra Virgin Olive oil 500ml	EXTRA VIRGIN 500ML	FLIPKART			OLIVE	EXTRA VIRGIN		500 MLS	PREMIUM	JIVO	LTR	0.5	OIL	Y	Y	6.875
EDOGFGRSGCW6XTFE	canola-mustard-sunflower-15L	CANOLA 5L + MUSTARD 5L + SUNFLOWER 5L	FLIPKART			CANOLA	CANOLA		15 LTR	PREMIUM	JIVO	LTR	15	OIL	Y	Y	0
GHEH6B93ZB66SEKQ	Jivo Desi Ghee 1Kg(900G)	DESI GHEE 1KG	FLIPKART	FG0000223	JIVO DESI GHEE 1 LTR 16 PCS	GHEE	DESI GHEE		1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGNQ925UAAY6FT	Pomace5Ltr-ExtraVirgin1Ltr	JIVO POMACE 5LTR + EXTRA VIRGIN 1L	FLIPKART			OLIVE	EXTRA VIRGIN		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
HNYGQTUW5DB6RXQD	Sano_honey_1KG	SANO HONEY 1KG	FLIPKART			HONEY	HONEY		1 KG	OTHER	SANO	KG		OTHER	N	N	0
RICGE89BUEDDA5U7	Basmati Rice 1kg	RICE 1KG	FLIPKART			RICE	RICE		1 KG	OTHER	JIVO	KG		OTHER	N	N	0
EDOGK4CHWKAHJQHB	Soyabean5+5L	SOYABEAN 5L+5L	FLIPKART			SOYABEAN	SOYABEAN		5+5 LTR	COMMODITY	JIVO	LTR	10	OIL	Y	Y	37.43
HNYHYRSBGKZHHFDZ	New_Sano_honey_1KG-Local	SANO HONEY 1KG	FLIPKART			HONEY	HONEY		1 KG	OTHER	SANO	KG		OTHER	N	N	0
EDOGNZ8KGNW9GGWV	Pomace1Ltr-Canola5Ltr-Pomace1Ltr	CANOLA 5L + JIVO POMACE 1L + JIVO POMACE 1L	FLIPKART			CANOLA	CANOLA		5+1+1 LTR	PREMIUM	JIVO	LTR	7	OIL	Y	Y	81.75
EDOGDUQJHA3RR8HA	Canola Oil 5L+Sunflower Oil 5L	CANOLA 5L + SUNFLOWER OIL 5L	FLIPKART			CANOLA	CANOLA		5+5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOGDUXZS7YRKEJY	Sunflower 5L+Mustard 5L	MUSTARD 5L + SUNFLOWER 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5+5 LTR	COMMODITY	JIVO	LTR	10	OIL	Y	Y	37.43
EDSH5AVCXWVGYCYT	Jivo Pumpkin Seeds 200gm	PUMPKIN SEEDS 200 GM	FLIPKART			SEEDS	Seeds		200 GMS	OTHER	JIVO	LTR		OTHER	Y	Y	0
EDOGHFUCDKHMHQY7	FL-Canola 5L+Pomace 1L	CANOLA 5L + JIVO POMACE 1L	FLIPKART			CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGJNM6JHJDSGMP	FL-Mustard 5L+Canola 1L	Mustard 5L+Canola 1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGHGSMHA6KUJTG	FL-Mustard5L+Sunflower1L	Mustard5L+Sunflower1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
QWRGGAV6QASFQUKF	Canola 1L-shopsy	CANOLA 1L	FLIPKART			CANOLA	CANOLA		1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGRRXUHZZHZ2WZ	sano pomace 1L	SANO POMACE 1L	FLIPKART			OLIVE	SANO POMACE		1 LTR	PREMIUM	SANO	LTR	1	OIL	Y	Y	6.875
EDOGGX6SQXCZKD2Y	FL-Canola5L+Soyabean1L	CANOLA 5L+ SOYABEAN 1L	FLIPKART	SL0000213	CANOLA 5 LTR+ SOYABEAN 1 LTR	CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOHYVZSYQPYYEYH	New_Canola 5L-Local	CANOLA 5L	FLIPKART	FG0000118	CANOLA OIL 5 LTR 4 PCS	CANOLA	CANOLA		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
BOTHYVRWUHGTZFHY	JIVO-INFI-FLIP-PRO-1000	FLIP PRO 1000	FLIPKART			FlipPRo	FlipPRo			OTHER	JIVO	MLS		MLS	N	N	0
EDOGDVFKPNBPFKAU	Sunflower Oil 1L	SUNFLOWER OIL 1L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
EDOHYRG4UMJFF2YE	New_Canola 5L-Loc	CANOLA 5L	FLIPKART	FG0000118	CANOLA OIL 5 LTR 4 PCS	CANOLA	CANOLA		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
QWRGGGJ6QXTBCSHY	FL-Sunflower 1+1+1-Shopsy	SUNFLOWER OIL 1L+1L+1L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		1+1+1 LTR	COMMODITY	JIVO	LTR	3	OIL	Y	Y	9.875
EDOGDURNCQZQ2YEW	Canola 5L+Mustard 5L	CANOLA 5L + MUSTARD 5L	FLIPKART			CANOLA	CANOLA		5+5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOGVEF33GYXKHEW	classic olive 1L	SANO CLASSIC 1L	FLIPKART			OLIVE	EXTRA LIGHT		1 LTR	PREMIUM	SANO	LTR	1	OIL	Y	Y	6.875
RICGFF68XXVEBZW5	Basmati Rice-5Kg-P5	RICE 5KG	FLIPKART			Rice	Rice		5 KG	OTHER	JIVO	KG		OTHER	N	N	0
EDOGHPMWKQTKU5RT	FL-Mustard 1L + Rice 1Kg	MUSTARD 1L + RICE 1KG	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGYJTPRV6H6WGY	Jivo Gold oil 5+1	GOLD 5L+1L	FLIPKART			BLENDED	GOLD		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGDUQXXQ8JQFBW	Canola 5L+Pomace 5L	CANOLA 5L + JIVO POMACE 5L	FLIPKART			OLIVE	JIVO POMACE		5+ 5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOGGY5KCR8S7SHK	FL-Canola1L+Soyabean1L+Mustard1L	CANOLA 1L+SOYABEAN 1L+MUSTARD 1L	FLIPKART	SL0000212	CANOLA 1 LTR+ SOYABEAN 1 LTR + MUSTARD 1 LTR	CANOLA	CANOLA		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDOGHFPZBXAAMHAK	FL-EX Light 5+2L	EXTRA LIGHT 5+2L	FLIPKART			OLIVE	EXTRA LIGHT		5+2 LTR	PREMIUM	JIVO	LTR	7	OIL	Y	Y	81.75
QWRGGDFAHFUEQCUC	Sunflower 5L+Mustard 5L-shopsy	SUNFLOWER 5L + MUSTARD 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5+5 LTR	COMMODITY	JIVO	LTR	10	OIL	Y	Y	37.43
QWRGGD86E5FYT9G3	Sunflower Oil 1L-shopsy	SUNFLOWER OIL 1L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGQUTFK86EUTJC	Sano Sunflower 1L + Sunflower 5 L	SANO SUNFLOWER OIL 1L + SUNFLOWER OIL 1L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		1+1 LTR	COMMODITY	SANO	LTR	2	OIL	Y	Y	7.875
QWRGEMQJ8TQRHASY	Pomace olive oil 1+1L_Shopsy	JIVO POMACE 1+1L	FLIPKART			OLIVE	JIVO POMACE		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGGGJJ8CEDEYWS	Mustard-5+1L-shopsy	MUSTARD 5L + 1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGGX8C5QAD2MPP	FL-Canola5L+Soyabean5L	CANOLA 5L + SOYABEAN 5L	FLIPKART	SL0000016	CANOLA 5 LTR + SOYABEAN 5 LTR	CANOLA	CANOLA		5+5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
QWRGG9RGWHCZHB5M	Canola 5L+ Mustard 1L-shopsy	CANOLA 5L + MUSTARD 1L	FLIPKART			CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGQUTHDNWRMZXE	Sano Soyabean 1L+ Soyabean 1 L	SANO SOYABEAN 1L + SOYABEAN 1L	FLIPKART			SOYABEAN	SOYABEAN		1+1 LTR	COMMODITY	SANO	LTR	2	OIL	Y	Y	7.875
EDOGHFUUUVNJ64PC	FL-Canola 5L+ Mustard 1L	CANOLA 5L + MUSTARD 1L	FLIPKART			CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
DAJH7UWV7CNCHSJB	WheatGrass_Blueberry_Juice_6PCS	WG BLUEBERRY JUICE 200 ML X 6PCS	FLIPKART			DRINKS	BLUEBERRY	6	200 MLS	OTHER	JIVO	LTR		BEVERAGE	Y	N	0
CRLHYEWUPR4DRZZD	JIVO-INFI-CASSEROLE-2200	CASSEROLE 2200	FLIPKART			Casserole	Casserole			OTHER	JIVO	LTR		OIL	Y	Y	0
QWRGEMRSPZ98QRUZ	Sunflower Oil 5L_Shopsy	SUNFLOWER OIL 5L	FLIPKART			SUNFLOWER	SUNFLOWER OIL		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGGXAECQMQBMYG	FL-Pomace5L+1L	JIVO POMACE 5+1L	FLIPKART			OLIVE	JIVO POMACE		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
QWRGEMRRZ73UUWHA	Canola 5L+Mustard 5L_Shopsy	CANOLA 5L + MUSTARD 5L	FLIPKART			CANOLA	CANOLA		5+5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOGW3GWC36PHWKY	Sano Canola 5L	SANO CANOLA 5L	FLIPKART	FG0000135	SANO CANOLA OIL 5 LTR 4 PCS	CANOLA	CANOLA		5 LTR	PREMIUM	SANO	LTR	5	OIL	Y	Y	73.875
EDOGWGZGCC8YG5PZ	coconutoil 500G	COCONUT OIL 500GM	FLIPKART			COCONUT	COCONUT	24	500 GMS	PREMIUM	JIVO	LTR	0.5	OIL	Y	Y	6.875
QWRGGAU3AQ7DEAUZ	Canola 5L-shopsy	CANOLA 5L	FLIPKART	FG0000118	CANOLA OIL 5 LTR 4 PCS	CANOLA	CANOLA		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGHFVGKYEQ89YB	FL-Extra Light 5L+ Pomace 1L	EXTRA LIGHT 5L + JIVO POMACE 1L	FLIPKART			OLIVE	EXTRA LIGHT		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
QWRGGCYFGYGWYS6Y	EX Light 5+2L-shopsy	EXTRA LIGHT 5L + 2L	FLIPKART			OLIVE	EXTRA LIGHT		5+2 LTR	PREMIUM	JIVO	LTR	7	OIL	Y	Y	81.75
EDOGGY4VUGZCEPUJ	FL-Canola1L+Soyabean1L+Sunflower1L	CANOLA 1L + SOYABEAN 1L + SUNFLOWER 1L	FLIPKART			CANOLA	CANOLA		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDOGGGHNUYZ8VYYV	FL-Canola5L+Extra Virgin1L	CANOLA 5L + EXTRA VIRGIN 1L	FLIPKART			CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGE5W95B7XQFW7	Canola 5L + Extra Light 1L	CANOLA 5L + EXTRA LIGHT 1L	FLIPKART			CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOH9PHGZG9H4GVT	JIvo_Mustard_5L	MUSTARD 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOH9NGHQF5SJXJG	Jivo_5L_Mustard_with_apture_flask	MUSTARD 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOH9N9SAN3YEG7B	Jivo_Canola_5L_with_pro_lunch_box	CANOLA 5L	FLIPKART			CANOLA	CANOLA		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGVH5WWCXQNJHF	sano canola 1L	SANO CANOLA 1L	FLIPKART			CANOLA	CANOLA		1 LTR	PREMIUM	SANO	LTR	1	OIL	Y	Y	6.875
EDOGQWU2JYAZCGZM	Sano_Sunflower_1L	SANO SUNFLOWER 1L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		1 LTR	COMMODITY	SANO	LTR	1	OIL	Y	Y	6.875
EDOGFGPZPBHGYPTM	Canola-virgin-mustard-3pc	CANOLA 1L+ EXTRA VIRGIN 1L + MUSTARD 1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDOGGX7RKBB4BHQD	FL-Soyabean5L+Canola1L	SOYABEAN 5L CANOLA 5L	FLIPKART			CANOLA	CANOLA		5+5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOH9NDEPYZHGAHF	Jivo_Groundnut_5L_With_Pro_lunch_box	GROUNDNUT 5L	FLIPKART			GROUNDNUT	GROUNDNUT		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
QWRGGBFMFWGWUWTJ	Canola 5+2L-shopsy	CANOLA 5L + 2L	FLIPKART			CANOLA	CANOLA		5+2 LTR	PREMIUM	JIVO	LTR	7	OIL	Y	Y	81.75
EDOGQURQAFV8PPCT	Sano Sunflower 1L + Sunflower 1 L	SANO SUNFLOWER 1L + SUNFLOWER OIL1L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		1+1 LTR	COMMODITY	SANO	LTR	2	OIL	Y	Y	7.875
QWRGJFNWTAGPZCZU	Soyabean 5L+Mustard1L-shopsy	SOYABEAN 5L + MUSTARD 1L	FLIPKART			SOYABEAN	SOYABEAN		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
QWRGEMP4HBFD4GF3	Sunflower Oil 1L_Shopsy	SUNFLOWER 1L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
QWRGG9TZKURYBFRC	Pomace5+1L canola-shopsy	JIVO POMACE 5L+1L	FLIPKART			OLIVE	JIVO POMACE		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOH9NGFHTHZFZHJ	Jivo_5L-Gold_with_Pro_lunchbox	GOLD 5L	FLIPKART			BLENDED	GOLD		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOH9NFPGNJDSFPN	Jivo_Sunflower_5L_With_elegance_Bottel	SUNFLOWER OIL 5L	FLIPKART			SUNFLOWER	SUNFLOWER OIL		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
QWRGJZQHMWA2GGHT	Mustard 5L+Canola 1L-shopsy	MUSTARD 5L + CANOLA 1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
CRLHYFF2NSZHWVHQ	JIVO-INFI-CASSEROLE-3200	CASSEROLE 3200	FLIPKART			Casserole	Casserole			OTHER	JIVO	LTR		OIL	Y	Y	0
LBXHYVP3GUHJJZGT	JIVO-INFI-LUNCH-BOX-PRO	LUNCH BOX	FLIPKART			LUNCH BOX	LUNCH BOX			OTHER	JIVO	LTR		OIL	Y	Y	0
EDOGJMU9YVVG3GZY	FL-Pomace 5L+Extra Light 2L Can	JIVO POMACE 5L + EXTRA LIGHT 2L	FLIPKART			OLIVE	EXTRA LIGHT		5+2 LTR	PREMIUM	JIVO	LTR	7	OIL	Y	Y	81.75
EDOGHGRTGFEKGQHF	FL-Canola-Mustard-Sunflower-3L	CANOLA 1L + MUSTARD 1L + SUNFLOWER 1L	FLIPKART			CANOLA	CANOLA		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDOH9NJEUZWKJWCX	Jivo_5L_Rice_Bran_with_elegance_water_bottle	RICE BRAN 5L	FLIPKART			RICE BRAN	RICE BRAN		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGDVWYGJNDYRQP	Mustard Oil 1 Ltr	MUSTARD 1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGW5P5G27GCYPP	Sano Canola -1L-(1+1+1)	SANO CANOLA 1+1+1	FLIPKART			CANOLA	CANOLA		1+1+1 LTR	PREMIUM	SANO	LTR	3	OIL	Y	Y	9.875
GHEGEUGZHGHGF5XH	A2 Cow Ghee 500ml	A2 GHEE 500 KG	FLIPKART	FG0000082	DESI GHEE A2 500 MLS 16 PCS	GHEE	A2 GHEE		500 MLS	PREMIUM	JIVO	LTR	0.5	OIL	Y	Y	6.875
BOTGZ9ZPVHFX8YYG	JIVO Infinite Flip Pro Jizbag Black	FLIP PRO	FLIPKART			FlipPRo	FlipPRo			OTHER	JIVO	LTR		OTHER	N	N	0
DAJH7WYZHZAYAKGN	WheatGrass_Apple_6PCS	WG APPLE JUICE 200ML X 6PCS	FLIPKART			DRINKS	APPLE	6	200 MLS	OTHER	JIVO	LTR		OTHER	Y	N	0
EDOGHFSWJBKWD9XK	FL-Extra Virgin-Extra Light-Pomace-15L	EXTRA VIRGIN 5L + EXTRA LIGHT 5L + JIVO POMACE 5L	FLIPKART			OLIVE	EXTRA VIRGIN		5+5+5 LTR	PREMIUM	JIVO	LTR	15	OIL	N	N	0
BOTHYVMNCRZHCY2V	JIVO-INFI-FERRERO-1000	JIVO-INFI-FERRERO-1000	FLIPKART			Ferrero	Ferrero			OTHER	JIVO	LTR		OTHER	N	N	0
BOTHYVPX44HZZQRG	JIVO-INFI-CRYPTO-500	JIVO-INFI-CRYPTO-500	FLIPKART			Crypto	Crypto			OTHER	JIVO	LTR		OTHER	N	N	0
DAJH7TQ57QBRQ7DT	Wheatgrass_Ginger_Ale_Sugar_Free_6PCS	WG GINGER ALE 200 ML X 6PCS	FLIPKART			DRINKS	GIGNGER ALE	6	200 MLS	OTHER	JIVO	LTR		OTHER	Y	N	0
BOTH4SQVCNDSQJYH	JIVO-INFI-ELEGANCE-PACK-1	JIVO-INFI-ELEGANCE-PACK-1	FLIPKART			ELEGANCE	ELEGANCE			OTHER	JIVO	LTR		OIL	N	N	0
DAJH7VUW7J7DZN7Q	Wheatgrass_Mojito_6PCS	WG MOJITO 200 MLX6PCS	FLIPKART			DRINKS	MOJITO	6	200 MLS	OTHER	JIVO	LTR		OTHER	Y	N	0
EDOH9Z7UHSZGTXHU	Jivo_5L_Mustard_with_elegance_water_bottel	MUSTARD 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
QWRGGC56R2MHCFBE	Pomace 5L+Extra Virgin 5L-shopsy	EXTRA VIRGIN 5L + JIVO POMACE 5L	FLIPKART			OLIVE	EXTRA VIRGIN		5+5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOH9P7NNNJUXGZP	Jivo_Groundnut_5L_With_Rapture_flask	GROUNDNUT 5L	FLIPKART			GROUNDNUT	GROUNDNUT		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGDUU45CEVJSYR	Pomace 5L+Extra Virgin 5L	EXTRA VIRGIN 5L + JIVO POMACE 5L	FLIPKART			OLIVE	EXTRA VIRGIN		5+5 LTR	PREMIUM	JIVO	LTR	10	OIL	Y	Y	37.43
EDOGQUT9G49NFAGZ	Sano Sunflower 5L + Sunflower 5 L	SANO SUNFLOWER 5L + SUNFLOWER OIL 5L	FLIPKART			SUNFLOWER OIL	SUNFLOWER OIL		5+5 LTR	COMMODITY	SANO	LTR	10	OIL	Y	Y	37.43
EDOGQTHV2RJYBFR9	Sano-M-5L	SANO MUSTARD 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5 LTR	COMMODITY	SANO	LTR	5	OIL	Y	Y	73.875
EDOGHFTJZH5CCDJ6	FL-Ex light 5L+1L virgin	EXTRA LIGHT 5L + EXTRA VIRGIN 1L	FLIPKART			OLIVE	EXTRA VIRGIN		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOGYCJYJQTGHXJE	Mustard Oil 2 Ltr	MUSTARD 2L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		2 LTR	COMMODITY	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMQGRDX7BTJ6	Canola 5+1L_Shopsy	CANOLA 5L + 1L	FLIPKART			CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOH9P83CD6GZUMX	Jivo_5-Soyabean_with_utopia_flask	SOYABEAN 5L	FLIPKART			SOYABEAN	SOYABEAN		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOGNZ7K5EKDCHRU	Extra Light1Ltr-Pomace1Ltr-Pomace1Ltr-1LtrPomace	JIVO POMACE 1L X 3 + EXTRA LIGHT 1L	FLIPKART			OLIVE	EXTRA LIGHT		1+1+1+1 LTR	PREMIUM	JIVO	LTR	4	OIL	Y	Y	23.375
EDOGGPF93QDDAMSG	SOYA005+1	SOYABEAN 5L + 1L	FLIPKART			SOYABEAN	SOYABEAN		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
EDOHGWU9WAPBEHWK	Mustard Oil 4L	MUSTARD 4L	FLIPKART	FG0000302	MUSTARD KACHI GHANI 4 LTR 5 PCS	MUSTARD	MUSTARD KACCHI GHANI	5	4 LTR	COMMODITY	JIVO	LTR	4	OIL	Y	Y	23.375
EDOHGP2YUDANTUXG	Jivo_Extra Virgin_200ml_Pack_Of_2	EXTRA VIRGIN 200ML	FLIPKART			OLIVE	EXTRA VIRGIN	2	200 MLS	PREMIUM	JIVO	MLS	0.2	OIL	Y	Y	3.43
