FORMAT SKU Code	Product Name	ITEM	FORMAT	SKU SAP Code	SKU SAP NAME	Category	Sub Category	Case Pack	Per UNIT	Item Head	Brand	UOM	Per UNIT Value	Category Head	IS LITRE	IS LITRE OIL	PACKAGING COST EXC
EDOGFGQQKJSKMRYQ	light-virgin-pomace-3L	JIVO EXTRA LIGHT 1L+EXTRA VIRGIN 1L+POMACE 1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDOHF5YKX4KJREGK	Jivo_Rice_Bran_OIl_1L	RICE BRAN 1L	FLIPKART	FG0000227	RICE BRAN 1L 16 PCS	RICE BRAN	RICE BRAN	16	1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
EDOG2NMEHAREDMZ3	Extra Virgin 1L	EXTRA VIRGIN 1L	FLIPKART	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	OLIVE	EXTRA VIRGIN	16	1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
EDSH4YGYGRWRQRGK	Jivo Chia Seeds 200gm	CHIA SEEDS 200GM	FLIPKART	FG0000165	CHIA SEEDS 200 GMS 1 PCS	SEEDS	CHIA SEEDS	1	200 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOGDTNZGDAHUDUJ	Canola 1L	CANOLA 1L	FLIPKART	FG0000032	COLD PRESS 1 LTR 20 PCS	CANOLA	CANOLA	20	1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGGF7EDC9PFFHH	SOYA005	SOYABEAN 5L	FLIPKART			SOYABEAN	SOYABEAN		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
GHEGWGYYFW9EDUBS	Desi Ghee 500G	DESI GHEE 500GM	FLIPKART	FG0000352	JIVO_DESI_GHEE_500 GMS	GHEE	DESI GHEE		500 MLS	PREMIUM	JIVO	GMS	0.5	OIL	Y	Y	6.875
EDSH7YS5QEEYEZZ6	Flax_Sunflower_Pumpking_Chia_800G	FLAX+SUNFLOWER+PUMKIN+CHIA 800GM	FLIPKART			SEEDS	ALL SEEDS		800 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDSH5AVFZRHQ43RZ	CHIA SEEDS	FLAX SEEDS 400 GM	FLIPKART	FG0000290	FLAX SEED 400 GMS 1 PCS	SEEDS	FLAX SEEDS	1	400 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDSH4ZZGCGCMYVFH	Jivo Pumpkin Seeds 800gm	PUMPKIN SEEDS 800 GM	FLIPKART	FG0000299	PUMPKIN SEEDS 800 GM 1 PCS	SEEDS	PUMPKIN SEEDS	1	800 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
SCMHG4HDYS45YCAZ	Jivo_1gm_Kashmiri_Kesar	KESAR 1GM	FLIPKART			SPICES	SAFFRON		1 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOGNPBFT55YKGPR	ExtraVirgin1Ltr-Pomace1Ltr-1Ltr	JIVO EXTRA VIRGIN 1L + POMACE 1+1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDSH4YK7VC4ZCNPU	Jivo Basil Seeds 800gm	BASIL SEEDS 800 GM	FLIPKART	FG0000297	BASIL SEED 800 GMS 1 PCS	SEEDS	BASIL SEEDS	1	800 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOGXYEFERFXP3ZY	Gold 1L	GOLD 1L	FLIPKART	FG0000149	JIVO GOLD 1 LTR 20 PCS	BLENDED	GOLD	20	1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
EDSH5YNWYH26YY2G	Jivo_Sunflower_Seeds_200gm	SUNFLOWER SEEDS 200 GM	FLIPKART	FG0000181	SUNFLOWER SEEDS 200 GMS 1 PCS	SEEDS	SUNFLOWER SEEDS	1	200 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
